   state_name   |             name             |  type   
 CDP            |  4203 |     0 |      0
 census area    |     0 |     0 |     11
 census subarea |     0 |    40 |      0
 city           |  9716 |  2649 |     43
 comunidad      |   142 |     0 |      0
 county         |     0 |    14 |   3006
 district       |     0 |  2126 |      0
 division       |     0 |  5581 |      0
 gore           |     0 |     4 |      0
 grant          |     0 |     9 |      0
 location       |     0 |     4 |      0
 municipality   |     0 |     4 |      0
 parish         |     0 |     0 |     64
 plantation     |     0 |    36 |      0
 precinct       |     0 |   948 |      0
 purchase       |     0 |     6 |      0
 reservation    |     0 |    17 |      0
 state          |     0 |    15 |      0
 subdistrict    |     0 |    20 |      0
 town           |  4603 |  3779 |      0
 township       |     0 | 18138 |      0
 unorg.         |     0 |   277 |      0
 urbana         |    78 |     0 |      0
 village        |  3809 |   485 |      0
(27 rows)

           name           | population | pc_population | land_area  | pc_land_area 
--------------------------+------------+---------------+------------+--------------
 ALABAMA                  |    4040587 |          1.60 |  131443117 |         1.43
 ALASKA                   |     550043 |          0.22 | 1477267515 |        16.11
 AMERICAN SOMOA           |      46773 |          0.02 |     200270 |         0.00
 ARIZONA                  |    3665228 |          1.45 |  294333362 |         3.21
 ARKANSAS                 |    2350725 |          0.93 |  134875069 |         1.47
 CALIFORNIA               |   29760021 |         11.78 |  403970679 |         4.41
 COLORADO                 |    3294394 |          1.30 |  268657691 |         2.93
 CONNECTICUT              |    3287116 |          1.30 |   12549571 |         0.14
 DELAWARE                 |     666168 |          0.26 |    5062455 |         0.06
 DISTRICT OF COLUMBIA     |     606900 |          0.24 |     159055 |         0.00
 FLORIDA                  |   12937926 |          5.12 |  139697308 |         1.52
 GEORGIA                  |    6478216 |          2.57 |  150009517 |         1.64
 GUAM                     |     133152 |          0.05 |     543463 |         0.01
 HAWAII                   |    1108229 |          0.44 |   16636478 |         0.18
 IDAHO                    |    1006749 |          0.40 |  214324967 |         2.34
 ILLINOIS                 |   11430602 |          4.53 |  143986609 |         1.57
 INDIANA                  |    5544159 |          2.20 |   92903619 |         1.01
 IOWA                     |    2768572 |          1.10 |  144689556 |         1.58
 KANSAS                   |    2477574 |          0.98 |  211921621 |         2.31
 KENTUCKY                 |    3685296 |          1.46 |  102906735 |         1.12
 LOUISIANA                |    4219973 |          1.67 |  112836222 |         1.23
 MAINE                    |    1227928 |          0.49 |   79939104 |         0.87
 MARYLAND                 |    4781468 |          1.89 |   25316318 |         0.28
 MASSACHUSETTS            |    6016425 |          2.38 |   20300302 |         0.22
 MICHIGAN                 |    9294845 |          3.68 |  146669903 |         1.60
 MINNESOTA                |    4375099 |          1.73 |  206206745 |         2.25
 MISSISSIPPI              |    2573216 |          1.02 |  121506404 |         1.33
 MISSOURI                 |    5117073 |          2.03 |  178446011 |         1.95
 MONTANA                  |     799065 |          0.32 |  376990894 |         4.11
 NEBRASKA                 |    1578385 |          0.62 |  199113173 |         2.17
 NEVADA                   |    1201833 |          0.48 |  284396327 |         3.10
 NEW HAMPSHIRE            |    1109252 |          0.44 |   23230673 |         0.25
 NEW JERSEY               |    7730188 |          3.06 |   19214779 |         0.21
 NEW MEXICO               |    1515069 |          0.60 |  314334035 |         3.43
 NEW YORK                 |   17990455 |          7.12 |  122309743 |         1.33
 NORTH CAROLINA           |    6628637 |          2.62 |  126179811 |         1.38
 NORTH DAKOTA             |     638800 |          0.25 |  178695204 |         1.95
 NORTHERN MARIANA ISLANDS |      43345 |          0.02 |     463661 |         0.01
 OHIO                     |   10843078 |          4.29 |  106008034 |         1.16
 OKLAHOMA                 |    3145585 |          1.25 |  177877409 |         1.94
 OREGON                   |    2842321 |          1.13 |  248646415 |         2.71
 PALAU                    |      15122 |          0.01 |     458391 |         0.00
 PENNSYLVANIA             |   11881643 |          4.70 |  116082670 |         1.27
 PUERTO RICO              |    3508556 |          1.39 |    8862566 |         0.10
 RHODE ISLAND             |    1003464 |          0.40 |    2706520 |         0.03
 SOUTH CAROLINA           |    3486703 |          1.38 |   77987813 |         0.85
 SOUTH DAKOTA             |     696004 |          0.28 |  196570627 |         2.14
 TENNESSEE                |    4877185 |          1.93 |  106758491 |         1.16
 TEXAS                    |   16986510 |          6.73 |  678358058 |         7.40
 UTAH                     |    1722850 |          0.68 |  212815498 |         2.32
 VERMONT                  |     562758 |          0.22 |   23955760 |         0.26
 VIRGINIA                 |    6187358 |          2.45 |  102558208 |         1.12
 VIRGIN ISLANDS           |     101809 |          0.04 |     346437 |         0.00
 WASHINGTON               |    4866692 |          1.93 |  172445421 |         1.88
 WEST VIRGINIA            |    1793477 |          0.71 |   62384197 |         0.68
 WISCONSIN                |    4891769 |          1.94 |  140672415 |         1.53
 WYOMING                  |     453588 |          0.18 |  251500801 |         2.74
(57 rows)

      state_name      |         county_name          | population 
----------------------+------------------------------+------------
 ALABAMA              | Jefferson County             |     651525
 ALABAMA              | Mobile County                |     378643
 ALABAMA              | Madison County               |     238912
 ALABAMA              | Montgomery County            |     209085
 ALABAMA              | Tuscaloosa County            |     150522
 ALASKA               | Anchorage Borough            |     226338
 ALASKA               | Fairbanks North Star Borough |      77720
 ALASKA               | Kenai Peninsula Borough      |      40802
 ALASKA               | Matanuska-Susitna Borough    |      39683
 ALASKA               | Juneau Borough               |      26751
 ARIZONA              | Maricopa County              |    2122101
 ARIZONA              | Pima County                  |     666880
 ARIZONA              | Pinal County                 |     116379
 ARIZONA              | Yavapai County               |     107714
 ARIZONA              | Yuma County                  |     106895
 ARKANSAS             | Pulaski County               |     349660
 ARKANSAS             | Washington County            |     113409
 ARKANSAS             | Sebastian County             |      99590
 ARKANSAS             | Benton County                |      97499
 ARKANSAS             | Jefferson County             |      85487
 CALIFORNIA           | Los Angeles County           |    8863164
 CALIFORNIA           | San Diego County             |    2498016
 CALIFORNIA           | Orange County                |    2410556
 CALIFORNIA           | Santa Clara County           |    1497577
 CALIFORNIA           | San Bernardino County        |    1418380
 COLORADO             | Denver County                |     467610
 COLORADO             | Jefferson County             |     438430
 COLORADO             | El Paso County               |     397014
 COLORADO             | Arapahoe County              |     391511
 COLORADO             | Adams County                 |     265038
 CONNECTICUT          | Hartford County              |     851783
 CONNECTICUT          | Fairfield County             |     827645
 CONNECTICUT          | New Haven County             |     804219
 CONNECTICUT          | New London County            |     254957
 CONNECTICUT          | Litchfield County            |     174092
 DELAWARE             | New Castle County            |     441946
 DELAWARE             | Sussex County                |     113229
 DELAWARE             | Kent County                  |     110993
 DISTRICT OF COLUMBIA | District of Columbia         |     606900
 FLORIDA              | Dade County                  |    1937094
 FLORIDA              | Broward County               |    1255488
 FLORIDA              | Palm Beach County            |     863518
 FLORIDA              | Pinellas County              |     851659
 FLORIDA              | Hillsborough County          |     834054
 GEORGIA              | Fulton County                |     648951
 GEORGIA              | DeKalb County                |     545837
 GEORGIA              | Cobb County                  |     447745
 GEORGIA              | Gwinnett County              |     352910
 GEORGIA              | Chatham County               |     216935
 HAWAII               | Honolulu County              |     836231
 HAWAII               | Hawaii County                |     120317
 HAWAII               | Maui County                  |     100374
 HAWAII               | Kauai County                 |      51177
 HAWAII               | Kalawao County               |        130
 IDAHO                | Ada County                   |     205775
 IDAHO                | Canyon County                |      90076
 IDAHO                | Bonneville County            |      72207
 IDAHO                | Kootenai County              |      69795
 IDAHO                | Bannock County               |      66026
 ILLINOIS             | Cook County                  |    5105067
